中央频道,#genre#
CCTV-1综合,http://192.168.123.1:4200/udp/238.1.78.166:7200
CCTV-2财经,http://192.168.123.1:4200/udp/238.1.78.235:7752
CCTV-3综艺,http://192.168.123.1:4200/udp/238.1.78.170:7232
CCTV-4中文国际,http://192.168.123.1:4200/udp/238.1.78.236:7760
CCTV-5体育,http://192.168.123.1:4200/udp/238.1.78.171:7240
CCTV-5+体育赛事,http://192.168.123.1:4200/udp/238.1.78.237:7768
CCTV-6电影,http://192.168.123.1:4200/udp/238.1.78.172:7248
CCTV-7国防军事,http://192.168.123.1:4200/udp/238.1.78.239:7784
CCTV-8电视剧,http://192.168.123.1:4200/udp/238.1.78.173:7256
CCTV-9纪录,http://192.168.123.1:4200/udp/238.1.78.240:7792
CCTV-10科教,http://192.168.123.1:4200/udp/238.1.78.241:7800
CCTV-11戏曲,http://192.168.123.1:4200/udp/238.1.78.206:7502
CCTV-12社会与法,http://192.168.123.1:4200/udp/238.1.78.242:7808
CCTV-13新闻,http://192.168.123.1:4200/udp/238.1.79.35:4392
CCTV-14少儿,http://192.168.123.1:4200/udp/238.1.78.243:7816
CCTV-15音乐,http://192.168.123.1:4200/udp/238.1.78.222:7648
CCTV-16奥运4K,http://111.20.105.192:6610/000000001000/5000000008000023254/index.m3u8?stbId=3&livemode=1&IASHttpSessionId=OTT451920221120173908002837&channel-id=bestzb&Contentid=5000000008000023254
CCTV-17农业农村,http://192.168.123.1:4200/udp/238.1.78.178:7296
CCTV-4k,https://epg.pm/stream/fc929c62192c401b9db6351a5825b2b4c73f9cc6531727fa465216b528021a82.m3u8
电视指南,http://192.168.123.1:4200/udp/238.1.79.53:4560
央视文化精品,http://192.168.123.1:4200/udp/238.1.79.54:4568
女性时尚,http://192.168.123.1:4200/udp/238.1.79.55:4576
兵器科技,http://192.168.123.1:4200/udp/238.1.79.56:4584
风云足球,http://192.168.123.1:4200/udp/238.1.79.57:4592
世界地理,http://192.168.123.1:4200/udp/238.1.79.60:4616
怀旧剧场,http://192.168.123.1:4200/udp/238.1.79.61:4624
风云剧场,http://192.168.123.1:4200/udp/238.1.79.62:4632
第一剧场,http://192.168.123.1:4200/udp/238.1.79.63:4640
风云音乐,http://192.168.123.1:4200/udp/238.1.79.64:4648
高尔夫网球,http://192.168.123.1:4200/udp/238.1.79.58:4600
央视台球,http://192.168.123.1:4200/udp/238.1.79.59:4608
CETV-1,http://192.168.123.1:4200/udp/238.1.78.158:7136
体育频道,#genre#
北京纪实8K,http://111.62.156.15/down.brtvcloud.com/brtv8kapptv/brtv8kapp8ktv.m3u8
广东体育,http://219.128.40.59:8888/udp/239.77.0.112:5146
上海体育,http://[2409:8c20:9c71:120::34]/keonline.shanghai.liveplay.qq.com/live/program/live/ssty/4000000/mnf.m3u8
北京体育,http://yfsl.vsd.gehua.net.cn/live/BTVjishiHD_6000.m3u8
CCTV-5体育,http://192.168.123.1:4200/udp/238.1.78.171:7240
